source,destination,distance_m,time_min,cost_idr,transit
Terminal Purabaya,Jembatan Merah,12000,40,5000,0
Jembatan Merah,Tunjungan Plaza,2800,8,3000,0
Tunjungan Plaza,Gubeng,2500,7,3000,0
Gubeng,ITS,8500,25,5000,0
ITS,Galaxy Mall,4200,12,4000,0
Galaxy Mall,Kenjeran,5500,15,4000,0
Kenjeran,Terminal Purabaya,15000,45,6000,1
Tunjungan Plaza,Terminal Bratang,6800,18,4000,0
Terminal Bratang,ITS,5800,16,4000,0
Jembatan Merah,Pasar Turi,2200,6,3000,0
Pasar Turi,Gubeng,5500,16,4000,0
Gubeng,Terminal Purabaya,13500,38,5000,1
Terminal Bratang,Pasar Turi,8500,26,5000,1
ITS,Pasar Turi,9200,28,5000,1
Rajawali,Jembatan Merah,1800,5,3000,0
Rajawali,Pasar Turi,3500,10,3000,0
Terminal Joyoboyo,Gubeng,4800,14,4000,0
Terminal Joyoboyo,Terminal Purabaya,11000,32,5000,0
Unair,Gubeng,3200,9,3500,0
Unair,ITS,6500,18,4500,0
Tunjungan Plaza,Terminal Joyoboyo,7200,20,4500,0
Galaxy Mall,Terminal Bratang,8800,24,5000,1
Kenjeran,Rajawali,9500,28,5000,1
Pasar Turi,Terminal Joyoboyo,6800,18,4000,0
Unair,Terminal Bratang,4500,12,3500,0
Terminal Purabaya,Terminal Bratang,14500,42,6000,1
Jembatan Merah,Terminal Joyoboyo,8500,24,4500,1
ITS,Kenjeran,7800,22,5000,0
Gubeng,Galaxy Mall,9200,26,5000,1
Rajawali,Terminal Purabaya,13800,40,5500,1
