source,destination,distance_m,time_min,cost_idr,transit
# TransJakarta BRT - All Corridors with Bidirectional Routes
# Corridor 1: Blok M - Kota
Blok M,Senayan,3000,9,3500,0
Senayan,Blok M,3000,9,3500,0
Senayan,Bundaran HI,4500,12,3500,0
Bundaran HI,Senayan,4500,12,3500,0
Bundaran HI,Monas,2500,7,3500,0
Monas,Bundaran HI,2500,7,3500,0
Monas,Harmoni,3000,8,3500,0
Harmoni,Monas,3000,8,3500,0
Harmoni,Kota,2800,8,3500,0
Kota,Harmoni,2800,8,3500,0
# Corridor 2: Pulogadung - Harmoni
Pulo Gadung,Kampung Melayu,8000,20,3500,0
Kampung Melayu,Pulo Gadung,8000,20,3500,0
Kampung Melayu,Cawang,3500,10,3500,0
Cawang,Kampung Melayu,3500,10,3500,0
Cawang,Dukuh Atas,7500,18,3500,1
Dukuh Atas,Cawang,7500,18,3500,1
Dukuh Atas,Harmoni,4000,12,3500,0
Harmoni,Dukuh Atas,4000,12,3500,0
# Corridor 3: Kalideres - Pasar Baru
Kalideres,Grogol,9000,25,3500,0
Grogol,Kalideres,9000,25,3500,0
Grogol,Tomang,3200,8,3500,0
Tomang,Grogol,3200,8,3500,0
Tomang,Tanah Abang,4500,12,3500,0
Tanah Abang,Tomang,4500,12,3500,0
Tanah Abang,Harmoni,3500,10,3500,0
Harmoni,Tanah Abang,3500,10,3500,0
# Corridor 4: Pulogadung - Dukuh Atas
Pulo Gadung,Sunter,8500,22,3500,0
Sunter,Pulo Gadung,8500,22,3500,0
Sunter,Kelapa Gading,4200,12,3500,0
Kelapa Gading,Sunter,4200,12,3500,0
Kelapa Gading,Kampung Bandan,7800,20,3500,0
Kampung Bandan,Kelapa Gading,7800,20,3500,0
Kampung Bandan,Ancol,3500,10,3500,0
Ancol,Kampung Bandan,3500,10,3500,0
# Corridor 5: Kampung Melayu - Ancol
Kampung Melayu,Tebet,4500,12,3500,0
Tebet,Kampung Melayu,4500,12,3500,0
Tebet,Kuningan,3800,10,3500,0
Kuningan,Tebet,3800,10,3500,0
Kuningan,Setiabudi,2500,7,3500,0
Setiabudi,Kuningan,2500,7,3500,0
Setiabudi,Dukuh Atas,1800,5,3500,0
Dukuh Atas,Setiabudi,1800,5,3500,0
# Corridor 6: Ragunan - Dukuh Atas
Ragunan Zoo,Blok M,6500,18,3500,0
Blok M,Ragunan Zoo,6500,18,3500,0
# MRT Jakarta - North-South Line (Bidirectional)
Lebak Bulus,Fatmawati,2200,4,14000,0
Fatmawati,Lebak Bulus,2200,4,14000,0
Fatmawati,Cipete Raya,1800,3,14000,0
Cipete Raya,Fatmawati,1800,3,14000,0
Cipete Raya,Haji Nawi,1500,3,14000,0
Haji Nawi,Cipete Raya,1500,3,14000,0
Haji Nawi,Blok A,1200,2,14000,0
Blok A,Haji Nawi,1200,2,14000,0
Blok A,Blok M MRT,1000,2,14000,0
Blok M MRT,Blok A,1000,2,14000,0
Blok M MRT,ASEAN MRT,1100,2,14000,0
ASEAN MRT,Blok M MRT,1100,2,14000,0
ASEAN MRT,Senayan MRT,1200,2,14000,0
Senayan MRT,ASEAN MRT,1200,2,14000,0
Senayan MRT,Istora Mandiri MRT,2800,5,14000,0
Istora Mandiri MRT,Senayan MRT,2800,5,14000,0
Istora Mandiri MRT,Bendungan Hilir MRT,1800,3,14000,0
Bendungan Hilir MRT,Istora Mandiri MRT,1800,3,14000,0
Bendungan Hilir MRT,Setiabudi Astra MRT,2000,4,14000,0
Setiabudi Astra MRT,Bendungan Hilir MRT,2000,4,14000,0
Setiabudi Astra MRT,Dukuh Atas MRT,1500,3,14000,0
Dukuh Atas MRT,Setiabudi Astra MRT,1500,3,14000,0
Dukuh Atas MRT,Bundaran HI MRT,1800,3,14000,0
Bundaran HI MRT,Dukuh Atas MRT,1800,3,14000,0
# LRT Jakarta - Kelapa Gading Line (Bidirectional)
Velodrome LRT,Boulevard Utara LRT,2800,5,5000,0
Boulevard Utara LRT,Velodrome LRT,2800,5,5000,0
Boulevard Utara LRT,Boulevard Selatan LRT,1200,2,5000,0
Boulevard Selatan LRT,Boulevard Utara LRT,1200,2,5000,0
Boulevard Selatan LRT,Pegangsaan Dua LRT,3200,6,5000,0
Pegangsaan Dua LRT,Boulevard Selatan LRT,3200,6,5000,0
Pegangsaan Dua LRT,Pulomas LRT,2500,5,5000,0
Pulomas LRT,Pegangsaan Dua LRT,2500,5,5000,0
Pulomas LRT,Equestrian LRT,3800,7,5000,0
Equestrian LRT,Pulomas LRT,3800,7,5000,0
# KRL Commuter Line - Major Lines (Bidirectional)
# Jakarta-Bogor Line
Gambir,Gondangdia,2500,4,3000,0
Gondangdia,Gambir,2500,4,3000,0
Gondangdia,Cikini,1800,3,3000,0
Cikini,Gondangdia,1800,3,3000,0
Cikini,Manggarai,3200,5,3000,0
Manggarai,Cikini,3200,5,3000,0
Manggarai,Tebet,2800,4,3000,0
Tebet,Manggarai,2800,4,3000,0
# Jakarta-Bekasi Line
Gambir,Pasar Senen,2200,4,3000,0
Pasar Senen,Gambir,2200,4,3000,0
Pasar Senen,Gang Sentiong,1500,3,3000,0
Gang Sentiong,Pasar Senen,1500,3,3000,0
Gang Sentiong,Kemayoran,2100,4,3000,0
Kemayoran,Gang Sentiong,2100,4,3000,0
Kemayoran,Rajawali,2500,5,3000,0
Rajawali,Kemayoran,2500,5,3000,0
Rajawali,Kampung Bandan KRL,2800,5,3000,0
Kampung Bandan KRL,Rajawali,2800,5,3000,0
Kampung Bandan KRL,Ancol KRL,3500,6,3000,0
Ancol KRL,Kampung Bandan KRL,3500,6,3000,0
Ancol KRL,Tanjung Priok,4200,8,3000,0
Tanjung Priok,Ancol KRL,4200,8,3000,0
Pasar Senen,Jatinegara,6500,12,3000,0
Jatinegara,Pasar Senen,6500,12,3000,0
Jatinegara,Klender,4200,8,3000,0
Klender,Jatinegara,4200,8,3000,0
Klender,Buaran,3500,6,3000,0
Buaran,Klender,3500,6,3000,0
Buaran,Klender Baru,2800,5,3000,0
Klender Baru,Buaran,2800,5,3000,0
Klender Baru,Cakung,4500,8,3000,0
Cakung,Klender Baru,4500,8,3000,0
# Jakarta-Tangerang Line
Gambir,Tanah Abang,3500,6,3000,0
Tanah Abang,Gambir,3500,6,3000,0
Tanah Abang,Grogol,4800,9,3000,0
Grogol,Tanah Abang,4800,9,3000,0
Grogol,Cengkareng,8500,15,3000,0
Cengkareng,Grogol,8500,15,3000,0
# Cross-System Transfers
# BRT-MRT Connections
Blok M,Blok M MRT,200,2,0,0
Blok M MRT,Blok M,200,2,0,0
Senayan,Senayan MRT,300,3,0,0
Senayan MRT,Senayan,300,3,0,0
Bundaran HI,Bundaran HI MRT,250,2,0,0
Bundaran HI MRT,Bundaran HI,250,2,0,0
Dukuh Atas,Dukuh Atas MRT,150,1,0,0
Dukuh Atas MRT,Dukuh Atas,150,1,0,0
# BRT-KRL Connections
Harmoni,Juanda,800,8,0,1
